scenario_name,time_slot,solver_name,mean_latency_ms,p95_latency_ms,p99_latency_ms,throughput_mbps,goodput_mbps,packet_loss_rate,fairness_index,queue_delay_ms,edge_utilization,transport_utilization,wireless_utilization,solver_runtime_s,objective_value,quality_gap,constraint_violation_count,dominant_bottleneck,admission_rate,metadata
tenant_slicing,0,greedy,23.050340309657546,28.38090383595304,28.491513887691156,157.45401234357234,157.45401234357234,0.0,0.7518471340186038,11.21031746031746,1.0,0.44943128197318705,0.2,0.00021594500867649913,205.77112961048488,0.4617876335581778,0,edge,0.7777777777777778,{}
tenant_slicing,1,greedy,25.66831669785757,35.95948935214327,36.40286798139377,149.76160044142026,149.76160044142026,0.0,0.7223132120830134,14.831349206349207,1.0,0.5776828102746656,0.25,0.00018416100647300482,225.26523005434524,0.3428306527173693,0,edge,0.7777777777777778,{}
tenant_slicing,2,greedy,23.243108670748565,32.06370710351289,32.41071453353295,161.95115355951515,161.95115355951515,0.0,0.8108367830726285,13.095238095238097,1.0,0.610884171720057,0.2,0.0001831679983297363,271.0937069000789,0.27171566337395925,0,edge,0.7777777777777778,{}
tenant_slicing,3,greedy,26.445272338854895,38.70954624310751,39.237467718791784,142.58447570290141,142.00119441333015,0.0,0.9023098982603811,16.61706349206349,1.0,0.447426639385226,0.2,0.00022620199888478965,275.2010489059274,0.2836407285783171,0,edge,0.7777777777777778,{}
tenant_slicing,0,milp_exact,23.023994887088215,30.856520849071543,31.328368219777985,159.92000791773015,159.92000791773015,0.0,0.7720477152443362,11.089409722222221,1.0,0.4990730869407175,0.2,0.01519399500102736,140.7667741104169,,0,edge,0.8888888888888888,{}
tenant_slicing,1,milp_exact,21.14686243541066,27.11446086628493,27.253586598506793,128.2903493670858,128.2903493670858,0.0,0.9044109338389489,10.850694444444445,1.0,0.4575977604154729,0.2,0.020671848993515596,167.75401246500863,,0,edge,0.8888888888888888,{}
tenant_slicing,2,milp_exact,22.07608756260644,30.498476018745706,30.986557205468404,147.06726219014286,145.8255519190069,0.0,0.8004638831307109,12.087673611111112,1.0,0.5310952895419311,0.2,0.01572388999920804,197.11104496554742,,0,edge,0.8888888888888888,{}
tenant_slicing,3,milp_exact,21.297873705977032,26.595734833517334,27.545376723589136,134.33790427480122,134.25664994220483,0.0,0.8483620600469057,11.89236111111111,1.0,0.5354108644072941,0.2,0.02747253300913144,179.32176763071556,,0,edge,0.8888888888888888,{}
tenant_slicing,0,quantum_inspired,23.050340309657546,28.38090383595304,28.491513887691156,157.45401234357234,157.45401234357234,0.0,0.7518471340186038,11.21031746031746,1.0,0.44943128197318705,0.2,0.5910207730048569,205.77112961048488,0.4617876335581778,0,edge,0.7777777777777778,{}
tenant_slicing,1,quantum_inspired,25.66831669785757,35.95948935214327,36.40286798139377,149.76160044142026,149.76160044142026,0.0,0.7223132120830134,14.831349206349207,1.0,0.5776828102746656,0.25,0.65491195100185,225.26523005434524,0.3428306527173693,0,edge,0.7777777777777778,{}
tenant_slicing,2,quantum_inspired,23.243108670748565,32.06370710351289,32.41071453353295,161.95115355951515,161.95115355951515,0.0,0.8108367830726285,13.095238095238097,1.0,0.610884171720057,0.2,0.6031467029970372,271.0937069000789,0.27171566337395925,0,edge,0.7777777777777778,{}
tenant_slicing,3,quantum_inspired,26.445272338854895,38.70954624310751,39.237467718791784,142.58447570290141,142.00119441333015,0.0,0.9023098982603811,16.61706349206349,1.0,0.447426639385226,0.2,0.608016198995756,275.2010489059274,0.2836407285783171,0,edge,0.7777777777777778,{}
